z,c,G,regime,actual_comparative_advantage
0.5,0.45,0.0,L,1
0.5,0.45416666666666666,0.0,L,1
0.5,0.45833333333333337,0.0,L,1
0.5,0.4625,0.0,L,1
0.5,0.4666666666666667,0.0,L,1
0.5,0.4708333333333333,0.0,L,1
0.5,0.47500000000000003,0.0,L,1
0.5,0.4791666666666667,0.0,L,1
0.5,0.48333333333333334,0.0,L,1
0.5,0.4875,0.0,L,1
0.5,0.4916666666666667,0.0,L,1
0.5,0.49583333333333335,0.0,L,1
0.5,0.5,0.0,L,1
0.5,0.5041666666666667,0.0,L,1
0.5,0.5083333333333333,0.0,L,1
0.5,0.5125,0.0,L,1
0.5,0.5166666666666667,0.0,L,1
0.5,0.5208333333333334,0.0,L,1
0.5,0.525,0.0,L,1
0.5,0.5291666666666667,0.0,L,1
0.5,0.5333333333333333,0.0,L,1
0.5,0.5375,0.0,L,1
0.5,0.5416666666666666,0.0,L,1
0.5,0.5458333333333334,0.0,L,1
0.5,0.55,0.0,L,1
0.5,0.5541666666666667,0.0,L,1
0.5,0.5583333333333333,0.0,L,1
0.5,0.5625,0.0,L,1
0.5,0.5666666666666667,0.0,L,1
0.5,0.5708333333333333,0.0,L,1
0.5,0.575,0.0,L,1
0.5,0.5791666666666666,0.0,L,1
0.5,0.5833333333333334,0.0,L,1
0.5,0.5875,0.0,L,1
0.5,0.5916666666666667,0.0,L,1
0.5,0.5958333333333333,0.0,L,1
0.5,0.6,0.0,L,1
0.5,0.6041666666666667,0.0,L,1
0.5,0.6083333333333334,0.0,L,1
0.5,0.6125,0.0,L,1
0.5,0.6166666666666667,0.0,L,1
0.5,0.6208333333333333,0.0,L,1
0.5,0.625,0.0,L,1
0.5,0.6291666666666667,0.0,L,1
0.5,0.6333333333333333,0.0,L,1
0.5,0.6375,0.0,L,1
0.5,0.6416666666666666,0.0,L,1
0.5,0.6458333333333334,0.0,L,1
0.5,0.65,0.0,L,1
0.5,0.6541666666666667,0.0,L,1
0.5,0.6583333333333333,0.0,L,1
0.5,0.6625,0.0,L,1
0.5,0.6666666666666667,0.0,L,1
0.5,0.6708333333333334,0.0,L,1
0.5,0.675,0.0,L,1
0.5,0.6791666666666667,0.0,L,1
0.5,0.6833333333333333,0.0,L,1
0.5,0.6875,0.0,L,1
0.5,0.6916666666666667,0.0,L,1
0.5,0.6958333333333333,0.0,L,1
0.5,0.7,0.0,L,1
0.5,0.7041666666666666,0.0,L,1
0.5,0.7083333333333333,0.0,L,1
0.5,0.7125,0.0,L,1
0.5,0.7166666666666667,0.0,L,1
0.5,0.7208333333333333,0.0,L,1
0.5,0.7250000000000001,0.0,L,1
0.5,0.7291666666666667,0.0,L,1
0.5,0.7333333333333334,0.0,L,1
0.5,0.7375,0.0,L,1
0.5,0.7416666666666667,0.0,L,1
0.5,0.7458333333333333,0.0,L,1
0.5,0.75,0.0,L,1
0.5,0.7541666666666667,0.0,L,1
0.5,0.7583333333333333,0.0,L,1
0.5,0.7625,0.0,P,1
0.5,0.7666666666666666,0.0,P,1
0.5,0.7708333333333333,0.0,P,1
0.5,0.775,0.0,P,1
0.5,0.7791666666666667,0.0,P,1
0.5,0.7833333333333333,0.0,P,1
0.5,0.7875000000000001,0.0,P,0
0.5,0.7916666666666667,0.0,P,0
0.5,0.7958333333333334,0.0,P,0
0.5,0.8,0.0,P,0
0.5,0.8041666666666667,0.0,P,0
0.5,0.8083333333333333,0.0,P,0
0.5,0.8125,0.0,P,0
0.5,0.8166666666666667,0.0,P,0
0.5,0.8208333333333333,0.0,0,0
0.5,0.825,0.0,0,0
0.5,0.8291666666666666,0.0,0,0
0.5,0.8333333333333333,0.0,0,0
0.5,0.8375,0.0,0,0
0.5,0.8416666666666667,0.0,0,0
0.5,0.8458333333333333,0.0,0,0
0.5,0.8500000000000001,0.0,0,0
0.5,0.8541666666666667,0.0,0,0
0.5,0.8583333333333334,0.0,0,0
0.5,0.8625,0.0,0,0
0.5,0.8666666666666667,0.0,0,0
0.5,0.8708333333333333,0.0,0,0
0.5,0.875,0.0,0,0
0.5,0.8791666666666667,0.0,0,0
0.5,0.8833333333333333,0.0,0,0
0.5,0.8875,0.0,0,0
0.5,0.8916666666666666,0.0,0,0
0.5,0.8958333333333333,0.0,0,0
0.5,0.9,0.0,0,0
0.5,0.9041666666666667,0.0,0,0
0.5,0.9083333333333333,0.0,0,0
0.5,0.9125,0.0,0,0
0.5,0.9166666666666667,0.0,0,0
0.5,0.9208333333333334,0.0,0,0
0.5,0.925,0.0,0,0
0.5,0.9291666666666667,0.0,0,0
0.5,0.9333333333333333,0.0,0,0
0.5,0.9375,0.0,0,0
0.5,0.9416666666666667,0.0,0,0
0.5,0.9458333333333333,0.0,0,0
0.5,0.95,0.0,0,0
0.5,0.9541666666666666,0.0,0,0
0.5,0.9583333333333333,0.0,0,0
0.5,0.9624999999999999,0.0,0,0
0.5,0.9666666666666666,0.0,0,0
0.5,0.9708333333333334,0.0,0,0
0.5,0.9750000000000001,0.0,0,0
0.5,0.9791666666666667,0.0,0,0
0.5,0.9833333333333334,0.0,0,0
0.5,0.9875,0.0,0,0
0.5,0.9916666666666667,0.0,0,0
0.5,0.9958333333333333,0.0,0,0
0.5,1.0,0.0,0,0
0.5,1.0041666666666667,0.0,0,0
0.5,1.0083333333333333,0.0,0,0
0.5,1.0125,0.0,0,0
0.5,1.0166666666666666,0.0,0,0
0.5,1.0208333333333333,0.0,0,0
0.5,1.025,0.0,0,0
0.5,1.0291666666666666,0.0,0,0
0.5,1.0333333333333334,0.0,0,0
0.5,1.0375,0.0,0,0
0.5,1.0416666666666667,0.0,0,0
0.5,1.0458333333333334,0.0,0,0
0.5,1.05,0.0,0,0
0.5,1.0541666666666667,0.0,0,0
0.5,1.0583333333333333,0.0,0,0
0.5,1.0625,0.0,0,0
0.5,1.0666666666666667,0.0,0,0
0.5,1.0708333333333333,0.0,0,0
0.5,1.075,0.0,0,0
0.5,1.0791666666666666,0.0,0,0
0.5,1.0833333333333333,0.0,0,0
0.5,1.0875,0.0,0,0
0.5,1.0916666666666666,0.0,0,0
0.5,1.0958333333333334,0.0,0,0
0.5,1.1,0.0,0,0
0.5,1.1041666666666667,0.0,0,0
0.5,1.1083333333333334,0.0,0,0
0.5,1.1125,0.0,0,0
0.5,1.1166666666666667,0.0,0,0
0.5,1.1208333333333333,0.0,0,0
0.5,1.125,0.0,0,0
0.5,1.1291666666666667,0.0,0,0
0.5,1.1333333333333333,0.0,0,0
0.5,1.1375,0.0,0,0
0.5,1.1416666666666666,0.0,0,0
0.5,1.1458333333333333,0.0,0,0
0.5,1.15,0.0,0,0
0.5,1.1541666666666666,0.0,0,0
0.5,1.1583333333333334,0.0,0,0
0.5,1.1625,0.0,0,0
0.5,1.1666666666666667,0.0,0,0
0.5,1.1708333333333334,0.0,0,0
0.5,1.175,0.0,0,0
0.5,1.1791666666666667,0.0,0,0
0.5,1.1833333333333333,0.0,0,0
0.5,1.1875,0.0,0,0
0.5,1.1916666666666667,0.0,0,0
0.5,1.1958333333333333,0.0,0,0
0.5,1.2,0.0,0,0
0.5,1.2041666666666666,0.0,0,0
0.5,1.2083333333333333,0.0,0,0
0.5,1.2125,0.0,0,0
0.5,1.2166666666666666,0.0,0,0
0.5,1.2208333333333334,0.0,0,0
0.5,1.225,0.0,0,0
0.5,1.2291666666666667,0.0,0,0
0.5,1.2333333333333334,0.0,0,0
0.5,1.2375,0.0,0,0
0.5,1.2416666666666667,0.0,0,0
0.5,1.2458333333333333,0.0,0,0
0.5,1.25,0.0,0,0
0.5,1.2541666666666667,0.0,0,0
0.5,1.2583333333333333,0.0,0,0
0.5,1.2625,0.0,0,0
0.5,1.2666666666666666,0.0,0,0
0.5,1.2708333333333333,0.0,0,0
0.5,1.275,0.0,0,0
0.5,1.2791666666666666,0.0,0,0
0.5,1.2833333333333334,0.0,0,0
0.5,1.2875,0.0,0,0
0.5,1.2916666666666667,0.0,0,0
0.5,1.2958333333333334,0.0,0,0
0.5,1.3,0.0,0,0
0.5,1.3041666666666667,0.0,0,0
0.5,1.3083333333333333,0.0,0,0
0.5,1.3125,0.0,0,0
0.5,1.3166666666666667,0.0,0,0
0.5,1.3208333333333333,0.0,0,0
0.5,1.325,0.0,0,0
0.5,1.3291666666666666,0.0,0,0
0.5,1.3333333333333333,0.0,0,0
0.5,1.3375,0.0,0,0
0.5,1.3416666666666666,0.0,0,0
0.5,1.3458333333333334,0.0,0,0
0.5,1.35,0.0,0,0
0.5,1.3541666666666667,0.0,0,0
0.5,1.3583333333333334,0.0,0,0
0.5,1.3625,0.0,0,0
0.5,1.3666666666666667,0.0,0,0
0.5,1.3708333333333333,0.0,0,0
0.5,1.375,0.0,0,0
0.5,1.3791666666666667,0.0,0,0
0.5,1.3833333333333333,0.0,0,0
0.5,1.3875,0.0,0,0
0.5,1.3916666666666666,0.0,0,0
0.5,1.3958333333333333,0.0,0,0
0.5,1.4,0.0,0,0
0.5,1.4041666666666666,0.0,0,0
0.5,1.4083333333333334,0.0,0,0
0.5,1.4125,0.0,0,0
0.5,1.4166666666666667,0.0,0,0
0.5,1.4208333333333334,0.0,0,0
0.5,1.425,0.0,0,0
0.5,1.4291666666666667,0.0,0,0
0.5,1.4333333333333333,0.0,0,0
0.5,1.4375,0.0,0,0
0.5,1.4416666666666667,0.0,0,0
0.5,1.4458333333333333,0.0,0,0
0.5,1.45,0.0,0,0
0.5,0.45,0.005,L,1
0.5,0.45416666666666666,0.005,L,1
0.5,0.45833333333333337,0.005,L,1
0.5,0.4625,0.005,L,1
0.5,0.4666666666666667,0.005,L,1
0.5,0.4708333333333333,0.005,L,1
0.5,0.47500000000000003,0.005,L,1
0.5,0.4791666666666667,0.005,L,1
0.5,0.48333333333333334,0.005,L,1
0.5,0.4875,0.005,L,1
0.5,0.4916666666666667,0.005,L,1
0.5,0.49583333333333335,0.005,L,1
0.5,0.5,0.005,L,1
0.5,0.5041666666666667,0.005,L,1
0.5,0.5083333333333333,0.005,L,1
0.5,0.5125,0.005,L,1
0.5,0.5166666666666667,0.005,L,1
0.5,0.5208333333333334,0.005,L,1
0.5,0.525,0.005,L,1
0.5,0.5291666666666667,0.005,L,1
0.5,0.5333333333333333,0.005,L,1
0.5,0.5375,0.005,L,1
0.5,0.5416666666666666,0.005,L,1
0.5,0.5458333333333334,0.005,L,1
0.5,0.55,0.005,L,1
0.5,0.5541666666666667,0.005,L,1
0.5,0.5583333333333333,0.005,L,1
0.5,0.5625,0.005,L,1
0.5,0.5666666666666667,0.005,L,1
0.5,0.5708333333333333,0.005,L,1
0.5,0.575,0.005,L,1
0.5,0.5791666666666666,0.005,L,1
0.5,0.5833333333333334,0.005,L,1
0.5,0.5875,0.005,L,1
0.5,0.5916666666666667,0.005,L,1
0.5,0.5958333333333333,0.005,L,1
0.5,0.6,0.005,L,1
0.5,0.6041666666666667,0.005,L,1
0.5,0.6083333333333334,0.005,L,1
0.5,0.6125,0.005,L,1
0.5,0.6166666666666667,0.005,L,1
0.5,0.6208333333333333,0.005,L,1
0.5,0.625,0.005,L,1
0.5,0.6291666666666667,0.005,L,1
0.5,0.6333333333333333,0.005,L,1
0.5,0.6375,0.005,L,1
0.5,0.6416666666666666,0.005,L,1
0.5,0.6458333333333334,0.005,L,1
0.5,0.65,0.005,L,1
0.5,0.6541666666666667,0.005,L,1
0.5,0.6583333333333333,0.005,L,1
0.5,0.6625,0.005,L,1
0.5,0.6666666666666667,0.005,L,1
0.5,0.6708333333333334,0.005,L,1
0.5,0.675,0.005,L,1
0.5,0.6791666666666667,0.005,L,1
0.5,0.6833333333333333,0.005,L,1
0.5,0.6875,0.005,L,1
0.5,0.6916666666666667,0.005,L,1
0.5,0.6958333333333333,0.005,L,1
0.5,0.7,0.005,L,1
0.5,0.7041666666666666,0.005,L,1
0.5,0.7083333333333333,0.005,L,1
0.5,0.7125,0.005,L,1
0.5,0.7166666666666667,0.005,L,1
0.5,0.7208333333333333,0.005,L,1
0.5,0.7250000000000001,0.005,L,1
0.5,0.7291666666666667,0.005,L,1
0.5,0.7333333333333334,0.005,L,1
0.5,0.7375,0.005,L,1
0.5,0.7416666666666667,0.005,L,1
0.5,0.7458333333333333,0.005,L,1
0.5,0.75,0.005,L,1
0.5,0.7541666666666667,0.005,L,1
0.5,0.7583333333333333,0.005,L,1
0.5,0.7625,0.005,L,1
0.5,0.7666666666666666,0.005,P,1
0.5,0.7708333333333333,0.005,P,1
0.5,0.775,0.005,P,1
0.5,0.7791666666666667,0.005,P,1
0.5,0.7833333333333333,0.005,P,1
0.5,0.7875000000000001,0.005,P,0
0.5,0.7916666666666667,0.005,P,0
0.5,0.7958333333333334,0.005,P,0
0.5,0.8,0.005,P,0
0.5,0.8041666666666667,0.005,P,0
0.5,0.8083333333333333,0.005,P,0
0.5,0.8125,0.005,P,0
0.5,0.8166666666666667,0.005,P,0
0.5,0.8208333333333333,0.005,0,0
0.5,0.825,0.005,0,0
0.5,0.8291666666666666,0.005,0,0
0.5,0.8333333333333333,0.005,0,0
0.5,0.8375,0.005,0,0
0.5,0.8416666666666667,0.005,0,0
0.5,0.8458333333333333,0.005,0,0
0.5,0.8500000000000001,0.005,0,0
0.5,0.8541666666666667,0.005,0,0
0.5,0.8583333333333334,0.005,0,0
0.5,0.8625,0.005,0,0
0.5,0.8666666666666667,0.005,0,0
0.5,0.8708333333333333,0.005,0,0
0.5,0.875,0.005,0,0
0.5,0.8791666666666667,0.005,0,0
0.5,0.8833333333333333,0.005,0,0
0.5,0.8875,0.005,0,0
0.5,0.8916666666666666,0.005,0,0
0.5,0.8958333333333333,0.005,0,0
0.5,0.9,0.005,0,0
0.5,0.9041666666666667,0.005,0,0
0.5,0.9083333333333333,0.005,0,0
0.5,0.9125,0.005,0,0
0.5,0.9166666666666667,0.005,0,0
0.5,0.9208333333333334,0.005,0,0
0.5,0.925,0.005,0,0
0.5,0.9291666666666667,0.005,0,0
0.5,0.9333333333333333,0.005,0,0
0.5,0.9375,0.005,0,0
0.5,0.9416666666666667,0.005,0,0
0.5,0.9458333333333333,0.005,0,0
0.5,0.95,0.005,0,0
0.5,0.9541666666666666,0.005,0,0
0.5,0.9583333333333333,0.005,0,0
0.5,0.9624999999999999,0.005,0,0
0.5,0.9666666666666666,0.005,0,0
0.5,0.9708333333333334,0.005,0,0
0.5,0.9750000000000001,0.005,0,0
0.5,0.9791666666666667,0.005,0,0
0.5,0.9833333333333334,0.005,0,0
0.5,0.9875,0.005,0,0
0.5,0.9916666666666667,0.005,0,0
0.5,0.9958333333333333,0.005,0,0
0.5,1.0,0.005,0,0
0.5,1.0041666666666667,0.005,0,0
0.5,1.0083333333333333,0.005,0,0
0.5,1.0125,0.005,0,0
0.5,1.0166666666666666,0.005,0,0
0.5,1.0208333333333333,0.005,0,0
0.5,1.025,0.005,0,0
0.5,1.0291666666666666,0.005,0,0
0.5,1.0333333333333334,0.005,0,0
0.5,1.0375,0.005,0,0
0.5,1.0416666666666667,0.005,0,0
0.5,1.0458333333333334,0.005,0,0
0.5,1.05,0.005,0,0
0.5,1.0541666666666667,0.005,0,0
0.5,1.0583333333333333,0.005,0,0
0.5,1.0625,0.005,0,0
0.5,1.0666666666666667,0.005,0,0
0.5,1.0708333333333333,0.005,0,0
0.5,1.075,0.005,0,0
0.5,1.0791666666666666,0.005,0,0
0.5,1.0833333333333333,0.005,0,0
0.5,1.0875,0.005,0,0
0.5,1.0916666666666666,0.005,0,0
0.5,1.0958333333333334,0.005,0,0
0.5,1.1,0.005,0,0
0.5,1.1041666666666667,0.005,0,0
0.5,1.1083333333333334,0.005,0,0
0.5,1.1125,0.005,0,0
0.5,1.1166666666666667,0.005,0,0
0.5,1.1208333333333333,0.005,0,0
0.5,1.125,0.005,0,0
0.5,1.1291666666666667,0.005,0,0
0.5,1.1333333333333333,0.005,0,0
0.5,1.1375,0.005,0,0
0.5,1.1416666666666666,0.005,0,0
0.5,1.1458333333333333,0.005,0,0
0.5,1.15,0.005,0,0
0.5,1.1541666666666666,0.005,0,0
0.5,1.1583333333333334,0.005,0,0
0.5,1.1625,0.005,0,0
0.5,1.1666666666666667,0.005,0,0
0.5,1.1708333333333334,0.005,0,0
0.5,1.175,0.005,0,0
0.5,1.1791666666666667,0.005,0,0
0.5,1.1833333333333333,0.005,0,0
0.5,1.1875,0.005,0,0
0.5,1.1916666666666667,0.005,0,0
0.5,1.1958333333333333,0.005,0,0
0.5,1.2,0.005,0,0
0.5,1.2041666666666666,0.005,0,0
0.5,1.2083333333333333,0.005,0,0
0.5,1.2125,0.005,0,0
0.5,1.2166666666666666,0.005,0,0
0.5,1.2208333333333334,0.005,0,0
0.5,1.225,0.005,0,0
0.5,1.2291666666666667,0.005,0,0
0.5,1.2333333333333334,0.005,0,0
0.5,1.2375,0.005,0,0
0.5,1.2416666666666667,0.005,0,0
0.5,1.2458333333333333,0.005,0,0
0.5,1.25,0.005,0,0
0.5,1.2541666666666667,0.005,0,0
0.5,1.2583333333333333,0.005,0,0
0.5,1.2625,0.005,0,0
0.5,1.2666666666666666,0.005,0,0
0.5,1.2708333333333333,0.005,0,0
0.5,1.275,0.005,0,0
0.5,1.2791666666666666,0.005,0,0
0.5,1.2833333333333334,0.005,0,0
0.5,1.2875,0.005,0,0
0.5,1.2916666666666667,0.005,0,0
0.5,1.2958333333333334,0.005,0,0
0.5,1.3,0.005,0,0
0.5,1.3041666666666667,0.005,0,0
0.5,1.3083333333333333,0.005,0,0
0.5,1.3125,0.005,0,0
0.5,1.3166666666666667,0.005,0,0
0.5,1.3208333333333333,0.005,0,0
0.5,1.325,0.005,0,0
0.5,1.3291666666666666,0.005,0,0
0.5,1.3333333333333333,0.005,0,0
0.5,1.3375,0.005,0,0
0.5,1.3416666666666666,0.005,0,0
0.5,1.3458333333333334,0.005,0,0
0.5,1.35,0.005,0,0
0.5,1.3541666666666667,0.005,0,0
0.5,1.3583333333333334,0.005,0,0
0.5,1.3625,0.005,0,0
0.5,1.3666666666666667,0.005,0,0
0.5,1.3708333333333333,0.005,0,0
0.5,1.375,0.005,0,0
0.5,1.3791666666666667,0.005,0,0
0.5,1.3833333333333333,0.005,0,0
0.5,1.3875,0.005,0,0
0.5,1.3916666666666666,0.005,0,0
0.5,1.3958333333333333,0.005,0,0
0.5,1.4,0.005,0,0
0.5,1.4041666666666666,0.005,0,0
0.5,1.4083333333333334,0.005,0,0
0.5,1.4125,0.005,0,0
0.5,1.4166666666666667,0.005,0,0
0.5,1.4208333333333334,0.005,0,0
0.5,1.425,0.005,0,0
0.5,1.4291666666666667,0.005,0,0
0.5,1.4333333333333333,0.005,0,0
0.5,1.4375,0.005,0,0
0.5,1.4416666666666667,0.005,0,0
0.5,1.4458333333333333,0.005,0,0
0.5,1.45,0.005,0,0
0.5,0.45,0.01,L,1
0.5,0.45416666666666666,0.01,L,1
0.5,0.45833333333333337,0.01,L,1
0.5,0.4625,0.01,L,1
0.5,0.4666666666666667,0.01,L,1
0.5,0.4708333333333333,0.01,L,1
0.5,0.47500000000000003,0.01,L,1
0.5,0.4791666666666667,0.01,L,1
0.5,0.48333333333333334,0.01,L,1
0.5,0.4875,0.01,L,1
0.5,0.4916666666666667,0.01,L,1
0.5,0.49583333333333335,0.01,L,1
0.5,0.5,0.01,L,1
0.5,0.5041666666666667,0.01,L,1
0.5,0.5083333333333333,0.01,L,1
0.5,0.5125,0.01,L,1
0.5,0.5166666666666667,0.01,L,1
0.5,0.5208333333333334,0.01,L,1
0.5,0.525,0.01,L,1
0.5,0.5291666666666667,0.01,L,1
0.5,0.5333333333333333,0.01,L,1
0.5,0.5375,0.01,L,1
0.5,0.5416666666666666,0.01,L,1
0.5,0.5458333333333334,0.01,L,1
0.5,0.55,0.01,L,1
0.5,0.5541666666666667,0.01,L,1
0.5,0.5583333333333333,0.01,L,1
0.5,0.5625,0.01,L,1
0.5,0.5666666666666667,0.01,L,1
0.5,0.5708333333333333,0.01,L,1
0.5,0.575,0.01,L,1
0.5,0.5791666666666666,0.01,L,1
0.5,0.5833333333333334,0.01,L,1
0.5,0.5875,0.01,L,1
0.5,0.5916666666666667,0.01,L,1
0.5,0.5958333333333333,0.01,L,1
0.5,0.6,0.01,L,1
0.5,0.6041666666666667,0.01,L,1
0.5,0.6083333333333334,0.01,L,1
0.5,0.6125,0.01,L,1
0.5,0.6166666666666667,0.01,L,1
0.5,0.6208333333333333,0.01,L,1
0.5,0.625,0.01,L,1
0.5,0.6291666666666667,0.01,L,1
0.5,0.6333333333333333,0.01,L,1
0.5,0.6375,0.01,L,1
0.5,0.6416666666666666,0.01,L,1
0.5,0.6458333333333334,0.01,L,1
0.5,0.65,0.01,L,1
0.5,0.6541666666666667,0.01,L,1
0.5,0.6583333333333333,0.01,L,1
0.5,0.6625,0.01,L,1
0.5,0.6666666666666667,0.01,L,1
0.5,0.6708333333333334,0.01,L,1
0.5,0.675,0.01,L,1
0.5,0.6791666666666667,0.01,L,1
0.5,0.6833333333333333,0.01,L,1
0.5,0.6875,0.01,L,1
0.5,0.6916666666666667,0.01,L,1
0.5,0.6958333333333333,0.01,L,1
0.5,0.7,0.01,L,1
0.5,0.7041666666666666,0.01,L,1
0.5,0.7083333333333333,0.01,L,1
0.5,0.7125,0.01,L,1
0.5,0.7166666666666667,0.01,L,1
0.5,0.7208333333333333,0.01,L,1
0.5,0.7250000000000001,0.01,L,1
0.5,0.7291666666666667,0.01,L,1
0.5,0.7333333333333334,0.01,L,1
0.5,0.7375,0.01,L,1
0.5,0.7416666666666667,0.01,L,1
0.5,0.7458333333333333,0.01,L,1
0.5,0.75,0.01,L,1
0.5,0.7541666666666667,0.01,L,1
0.5,0.7583333333333333,0.01,L,1
0.5,0.7625,0.01,L,1
0.5,0.7666666666666666,0.01,P,1
0.5,0.7708333333333333,0.01,P,1
0.5,0.775,0.01,P,1
0.5,0.7791666666666667,0.01,P,1
0.5,0.7833333333333333,0.01,P,1
0.5,0.7875000000000001,0.01,P,0
0.5,0.7916666666666667,0.01,P,0
0.5,0.7958333333333334,0.01,P,0
0.5,0.8,0.01,P,0
0.5,0.8041666666666667,0.01,P,0
0.5,0.8083333333333333,0.01,P,0
0.5,0.8125,0.01,P,0
0.5,0.8166666666666667,0.01,P,0
0.5,0.8208333333333333,0.01,0,0
0.5,0.825,0.01,0,0
0.5,0.8291666666666666,0.01,0,0
0.5,0.8333333333333333,0.01,0,0
0.5,0.8375,0.01,0,0
0.5,0.8416666666666667,0.01,0,0
0.5,0.8458333333333333,0.01,0,0
0.5,0.8500000000000001,0.01,0,0
0.5,0.8541666666666667,0.01,0,0
0.5,0.8583333333333334,0.01,0,0
0.5,0.8625,0.01,0,0
0.5,0.8666666666666667,0.01,0,0
0.5,0.8708333333333333,0.01,0,0
0.5,0.875,0.01,0,0
0.5,0.8791666666666667,0.01,0,0
0.5,0.8833333333333333,0.01,0,0
0.5,0.8875,0.01,0,0
0.5,0.8916666666666666,0.01,0,0
0.5,0.8958333333333333,0.01,0,0
0.5,0.9,0.01,0,0
0.5,0.9041666666666667,0.01,0,0
0.5,0.9083333333333333,0.01,0,0
0.5,0.9125,0.01,0,0
0.5,0.9166666666666667,0.01,0,0
0.5,0.9208333333333334,0.01,0,0
0.5,0.925,0.01,0,0
0.5,0.9291666666666667,0.01,0,0
0.5,0.9333333333333333,0.01,0,0
0.5,0.9375,0.01,0,0
0.5,0.9416666666666667,0.01,0,0
0.5,0.9458333333333333,0.01,0,0
0.5,0.95,0.01,0,0
0.5,0.9541666666666666,0.01,0,0
0.5,0.9583333333333333,0.01,0,0
0.5,0.9624999999999999,0.01,0,0
0.5,0.9666666666666666,0.01,0,0
0.5,0.9708333333333334,0.01,0,0
0.5,0.9750000000000001,0.01,0,0
0.5,0.9791666666666667,0.01,0,0
0.5,0.9833333333333334,0.01,0,0
0.5,0.9875,0.01,0,0
0.5,0.9916666666666667,0.01,0,0
0.5,0.9958333333333333,0.01,0,0
0.5,1.0,0.01,0,0
0.5,1.0041666666666667,0.01,0,0
0.5,1.0083333333333333,0.01,0,0
0.5,1.0125,0.01,0,0
0.5,1.0166666666666666,0.01,0,0
0.5,1.0208333333333333,0.01,0,0
0.5,1.025,0.01,0,0
0.5,1.0291666666666666,0.01,0,0
0.5,1.0333333333333334,0.01,0,0
0.5,1.0375,0.01,0,0
0.5,1.0416666666666667,0.01,0,0
0.5,1.0458333333333334,0.01,0,0
0.5,1.05,0.01,0,0
0.5,1.0541666666666667,0.01,0,0
0.5,1.0583333333333333,0.01,0,0
0.5,1.0625,0.01,0,0
0.5,1.0666666666666667,0.01,0,0
