c,G_A,G_E,G_L,G_R,G_Y
0.5,0.0,0.0,0.0,0.0,0.46542540942644606
0.505,0.0,0.0,0.0,0.0,0.4663744844690245
0.51,0.0,0.0,0.0,0.0,0.4673382830718935
0.515,0.0,0.0,0.0,0.0,0.4683168842336464
0.52,0.0,0.0,0.0,0.0,0.46931036572254836
0.525,0.0,0.0,0.0,0.0,0.470318804065676
0.53,0.0,0.0,0.0,0.0,0.4713422745382748
0.535,0.0,0.0,0.0,0.0,0.4723808511533409
0.54,0.0,0.0,0.0,0.0,0.47343460665142995
0.545,0.0,0.0,0.0,0.0,0.474503612490701
0.55,0.0,0.0,0.0,0.0,0.4755879388372073
0.555,0.0,0.0,0.0,0.0,0.4766876545554275
0.56,0.0,0.0,0.0,0.0,0.47780282719901385
0.5650000000000001,0.0,0.0,0.0,0.0,0.4789335230019486
0.5700000000000001,0.0,0.0,0.0,0.0,0.4800798068696153
0.575,0.0,0.0,0.0,0.0,0.4812417423705609
0.5800000000000001,0.0,0.0,0.0,0.0,0.4824193917282367
0.585,0.0,0.0,0.0,0.0,0.48361281581313603
0.5900000000000001,0.0,0.0,0.0,0.0,0.4848220741350851
0.595,0.0,0.0,0.0,0.0,0.4860472248361024
0.6,0.0,0.0,0.0,0.0,0.4872883246830093
0.605,0.0,0.0,0.0,0.0,0.4885454290611195
0.61,0.0,0.0,0.0,0.0,0.48981859196724
0.615,0.0,0.0,0.0,0.0,0.49110786600404316
0.62,0.0,0.0,0.0,0.0,0.49241330237368397
0.625,0.0,0.0,0.0,0.0,0.4937349508726295
0.63,0.0,0.0,0.0,0.0,0.4950728598861346
0.635,0.0,0.0,0.0,0.0,0.4964270763834068
0.64,0.0,0.0,0.0,0.0,0.49779764591290593
0.645,0.0,0.0,0.0,0.0,0.4991846125981657
0.65,0.0,0.0,0.0,0.0,0.5005880191334057
0.655,0.0,0.0,0.0,0.0,0.5020079067802455
0.66,0.0,0.0,0.0,0.0,0.5034443153641022
0.665,0.0,0.0,0.0,0.0,0.5048972832711902
0.67,0.0,0.0,0.0,0.0,0.5063668474457931
0.675,0.0,0.0,0.0,0.0,0.5078530433878415
0.68,0.0,0.0,0.0,0.0,0.5093559051508353
0.685,0.0,0.0,0.0,0.0,0.5108754653400895
0.6900000000000001,0.0,0.0,0.0,0.0,0.5124117551113089
0.6950000000000001,0.0,0.0,0.0,0.0,0.5139648041694871
0.7000000000000001,0.0,0.0,0.0,0.0,0.5155346407681362
0.7050000000000001,0.0,0.0,0.0,0.0,0.5171212917088738
0.7100000000000001,0.0,0.0,0.0,0.0,0.5187247823412907
0.7150000000000001,0.0,0.0,0.0,0.0,0.5203451365631242
0.72,0.0,0.0,0.0,0.0,0.5219823768210553
0.7250000000000001,0.0,0.0,0.0,0.0,0.5236365241111022
0.73,0.0,0.0,0.0,0.0,0.5253075979802352
0.7350000000000001,0.0,0.0,0.0,0.0,0.5269956165280427
0.74,0.0,0.0,0.0,0.0,0.5287005964079036
0.7450000000000001,0.0,0.0,0.0,0.0,0.5304225528298905
0.75,0.0,0.0,0.0,0.0,0.5321614995630026
0.7550000000000001,0.0,0.0,0.0,0.0,0.5339174489378747
0.76,0.0,0.0,0.0,0.0,0.5356904118502136
0.7650000000000001,0.0,0.0,0.021951881601645764,0.022,0.5374803977639706
0.77,0.0,0.0,0.055921473447877124,0.04220262122100587,0.5392874147152649
0.7750000000000001,0.0,0.0,0.08971298691424992,0.04288163056119242,0.5411114693168864
0.78,0.0,0.0,0.12332833298068373,0.04356540014711404,0.5429525667617041
0.785,0.0008560910901829342,0.0,0.1567693913362484,0.04425393858269329,0.5448107108283702
0.79,0.029025179681462607,0.0,0.19003801106994964,0.0449472543553938,0.5466859038862323
0.795,0.057036457424812594,0.0,0.22313601134233918,0.04564535583667581,0.5485781468999023
0.8,0.08489168267208914,0.0,0.2560651820385933,0.04634825128038465,0.5504874394358142
0.805,0.11259258455016673,0.0,0.28882728440365624,0.047055948823348084,0.5524137796676656
0.81,0.14014086360501438,0.0,0.321424051660068,0.04776845648440337,0.5543571643828169
0.8150000000000001,0.16753819242814197,0.0,0.3538571896090196,0.04848578216406215,0.5563175889887806
0.8200000000000001,0.19478621626596612,0.012470729917821445,0.3861283772151993,0.04920793364413758,0.5582950475200165
0.8250000000000001,0.22188655361266177,0.03292065617544666,0.41823926717595183,0.04993491858708318,0.5602895326450366
0.8300000000000001,0.24884079678704354,0.053287283113625114,0.45019148647524454,0.0535,0.5623010356737929
0.8350000000000001,0.27565051249397116,0.07357128659169758,0.48198663692295124,0.074,0.5643295465653323
0.8400000000000001,0.3023172423707837,0.09377333427672302,0.513626295679903,0.094,0.5663750539357225
0.8450000000000001,0.3288425035192492,0.1138940857753494,0.5451120157691663,0.114,0.5684375450662391
0.8500000000000001,0.35522778902346874,0.13393419276304339,0.5764453265739735,0.134,0.5765
0.8550000000000001,0.3814745684541871,0.15389429911073121,0.6076277343227455,0.154,0.608
0.8600000000000001,0.40758428835994515,0.1737750410089285,0.6386607225615867,0.17400000000000002,0.639
0.865,0.4335583727454648,0.19357704708941292,0.6695457526146533,0.194,0.67
0.8700000000000001,0.4593982235376784,0.21330093854449406,0.7002842640327671,0.2135,0.7005
0.875,0.48510522103977144,0.23294732924394185,0.7308776750306327,0.233,0.731
0.8800000000000001,0.5106807243736232,0.25251682584962437,0.7613273829130188,0.253,0.7615000000000001
0.885,0.5361260719109793,0.27201002792791074,0.7916347644902187,0.2725,0.792
0.8900000000000001,0.5614425816937146,0.2914275280598985,0.8218011764831387,0.2915,0.8220000000000001
0.895,0.5866315518434991,0.3107699119494996,0.8518279559182889,0.311,0.8317166048816751
0.9000000000000001,0.6116942609612221,0.3300377585294507,0.8817164205130418,0.3305,0.8351160339618297
0.905,0.6366319685164162,0.34923164006527885,0.9114678690513655,0.34950000000000003,0.8385270739220168
0.9100000000000001,0.661445915227062,0.36835212225729563,0.9410835817503973,0.3685,0.8419496447386909
0.915,0.6861373234299745,0.38739976434063356,0.9705648206180536,0.3875,0.8453836662963319
0.9200000000000002,0.7107073974421204,0.4063751191833931,0.999912829802006,0.40650000000000003,0.8488290583976875
0.925,0.735157323913079,0.4252787333829228,1.0291288359302173,0.4255,0.852285740774366
0.9300000000000002,0.7594882721689433,0.44411114736030666,1.0582140484433216,0.4445,0.8557536330929402
0.935,0.7837013945478829,0.46287289545305876,1.08716965991906,0.463,0.8592326549700244
0.9400000000000001,0.8077978267276271,0.4815645060060947,1.1159968463890286,0.482,0.8627227259788677
0.9450000000000001,0.8317786880450929,0.5001865014610072,1.1446967676479243,0.5005000000000001,0.8662237656585916
0.9500000000000001,0.8556450818083808,0.5187393984436853,1.173270567555518,0.519,0.8697356935243354
0.9550000000000001,0.8793980956013706,0.5372237078503153,1.2017193743315784,0.5375,0.8732584290764541
0.9600000000000001,0.9030388015810992,0.5556399349317979,1.2300443008439013,0.556,0.8767918918087945
0.9650000000000001,0.926568256768164,0.5739885793766106,1.2582464448897006,0.5740000000000001,0.8803360012178076
0.9700000000000001,0.9499875033302957,0.5922701353921626,1.2863268894704678,0.5925,0.88389067681443
0.9750000000000001,0.9732975688593518,0.6104850917846676,1.3142867030605632,0.6105,0.8874558381273053
0.9800000000000001,0.9964994666418626,0.6286339320375615,1.342126939869637,0.629,0.8910314047151238
0.9850000000000001,1.0195941959233359,0.6467171343885043,1.3698486400991237,0.647,0.8946172961744032
0.9900000000000001,1.0425827421664828,0.6647351719049968,1.3974528301928943,0.665,0.898213432147565
0.9950000000000001,1.0654660773035425,0.682688512558639,1.4249405230822978,0.683,0.9018197323315922
1.0,1.088245159982845,0.7005776192980586,1.4523127184256852,0.7010000000000001,0.905436116483892
1.0050000000000001,1.110920935809802,0.7184029501205407,1.4795704028426166,0.7185,0.9090625044350542
1.0100000000000002,1.1334943375824358,0.7361649581423798,1.5067145501428476,0.7365,0.9126988160914424
1.0150000000000001,1.155966285521632,0.7538640916679995,1.5337461215502624,0.754,0.9163449714455479
1.02,1.1783376874962372,0.7715007942578412,1.560666065921889,0.772,0.9200008905848012
1.0250000000000001,1.2006094392431383,0.7890755047950644,1.5874753199621106,0.7895,0.9236664936948956
1.0300000000000002,1.2227824245824686,0.8065886575510746,1.6141748084322085,0.807,0.927341701070894
