s,lambda_ces_kappa_low,lambda_ces_kappa_high,lambda_sine_kappa_low,lambda_sine_kappa_high,kappa_low,kappa_high,ces_peak_s_low,ces_peak_s_high,sine_peak_s_low,sine_peak_s_high,ces_peak_lambda_low,ces_peak_lambda_high,sine_peak_lambda_low,sine_peak_lambda_high
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.0020000000,0.0026731006,0.0013371472,0.0021036418,0.0010522907,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.0040000000,0.0053307281,0.0026677437,0.0042034476,0.0021036003,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.0060000000,0.0079729237,0.0039917982,0.0062993449,0.0031538887,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.0080000000,0.0105997286,0.0053093195,0.0083912611,0.0042031157,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.0100000000,0.0132111841,0.0066203163,0.0104791242,0.0052512414,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.0120000000,0.0158073309,0.0079247974,0.0125628625,0.0062982258,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.0140000000,0.0183882099,0.0092227713,0.0146424042,0.0073440289,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.0160000000,0.0209538618,0.0105142469,0.0167176781,0.0083886110,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.0180000000,0.0235043269,0.0117992329,0.0187886132,0.0094319324,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.0200000000,0.0260396457,0.0130777378,0.0208551388,0.0104739534,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.0220000000,0.0285598584,0.0143497703,0.0229171844,0.0115146345,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.0240000000,0.0310650051,0.0156153390,0.0249746798,0.0125539362,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.0260000000,0.0335551256,0.0168744526,0.0270275550,0.0135918191,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.0280000000,0.0360302597,0.0181271197,0.0290757406,0.0146282440,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.0300000000,0.0384904472,0.0193733488,0.0311191672,0.0156631717,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
