kappa,log_y_ratio,log_r_ratio,d_ratio,b_ratio,p_ratio,kappa_R_F,kappa_Y_F,z0,z1
0.0000000000,-0.0357542059,-0.0156953356,1.0743912325,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0020000000,-0.0356585551,-0.0155996848,1.0742884712,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0040000000,-0.0355628862,-0.0155040159,1.0741857001,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0060000000,-0.0354671991,-0.0154083288,1.0740829193,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0080000000,-0.0353714938,-0.0153126235,1.0739801287,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0100000000,-0.0352757703,-0.0152169000,1.0738773285,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0120000000,-0.0351800285,-0.0151211582,1.0737745185,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0140000000,-0.0350842686,-0.0150253983,1.0736716988,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0160000000,-0.0349884904,-0.0149296201,1.0735688694,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0180000000,-0.0348926939,-0.0148338236,1.0734660303,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0200000000,-0.0347968792,-0.0147380089,1.0733631814,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0220000000,-0.0347010463,-0.0146421760,1.0732603228,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0240000000,-0.0346051952,-0.0145463249,1.0731574545,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0260000000,-0.0345093257,-0.0144504554,1.0730545764,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0280000000,-0.0344134380,-0.0143545677,1.0729516886,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0300000000,-0.0343175321,-0.0142586618,1.0728487911,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0320000000,-0.0342216078,-0.0141627375,1.0727458838,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0340000000,-0.0341256653,-0.0140667950,1.0726429668,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0360000000,-0.0340297045,-0.0139708342,1.0725400400,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0380000000,-0.0339337254,-0.0138748551,1.0724371036,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0400000000,-0.0338377280,-0.0137788577,1.0723341573,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0420000000,-0.0337417123,-0.0136828420,1.0722312014,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0440000000,-0.0336456783,-0.0135868080,1.0721282357,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0460000000,-0.0335496260,-0.0134907557,1.0720252602,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0480000000,-0.0334535554,-0.0133946851,1.0719222750,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0500000000,-0.0333574664,-0.0132985961,1.0718192800,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0520000000,-0.0332613591,-0.0132024888,1.0717162753,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0540000000,-0.0331652335,-0.0131063632,1.0716132609,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0560000000,-0.0330690895,-0.0130102192,1.0715102367,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0580000000,-0.0329729272,-0.0129140569,1.0714072027,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0600000000,-0.0328767465,-0.0128178762,1.0713041590,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0620000000,-0.0327805475,-0.0127216772,1.0712011055,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0640000000,-0.0326843301,-0.0126254598,1.0710980423,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0660000000,-0.0325880943,-0.0125292240,1.0709949693,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0680000000,-0.0324918401,-0.0124329698,1.0708918866,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0700000000,-0.0323955676,-0.0123366973,1.0707887941,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0720000000,-0.0322992767,-0.0122404064,1.0706856918,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0740000000,-0.0322029674,-0.0121440971,1.0705825798,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0760000000,-0.0321066397,-0.0120477694,1.0704794579,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0780000000,-0.0320102935,-0.0119514232,1.0703763264,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0800000000,-0.0319139290,-0.0118550587,1.0702731850,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0820000000,-0.0318175461,-0.0117586758,1.0701700339,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0840000000,-0.0317211447,-0.0116622744,1.0700668730,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0860000000,-0.0316247249,-0.0115658546,1.0699637024,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0880000000,-0.0315282867,-0.0114694164,1.0698605219,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0900000000,-0.0314318300,-0.0113729597,1.0697573317,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0920000000,-0.0313353549,-0.0112764846,1.0696541317,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0940000000,-0.0312388613,-0.0111799910,1.0695509220,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0960000000,-0.0311423493,-0.0110834790,1.0694477024,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.0980000000,-0.0310458188,-0.0109869485,1.0693444731,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.1000000000,-0.0309492698,-0.0108903995,1.0692412340,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.1020000000,-0.0308527024,-0.0107938321,1.0691379851,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.1040000000,-0.0307561165,-0.0106972462,1.0690347264,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.1060000000,-0.0306595121,-0.0106006418,1.0689314580,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.1080000000,-0.0305628892,-0.0105040189,1.0688281797,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.1100000000,-0.0304662478,-0.0104073775,1.0687248917,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.1120000000,-0.0303695879,-0.0103107176,1.0686215938,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.1140000000,-0.0302729095,-0.0102140392,1.0685182862,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.1160000000,-0.0301762126,-0.0101173423,1.0684149688,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
0.1180000000,-0.0300794972,-0.0100206269,1.0683116416,1.0366558465,0.9443002915,0.3231617197,0.7219294576,-0.7500000000,-0.3000000000
