s,epsilon,epsilon_plus_alpha_s,lambda_kappa_0,lambda_kappa_0_5,lambda_kappa_1,dlnY_dz_kappa_0,dlnY_dz_kappa_0_5,dlnY_dz_kappa_1,dlnR_dz_kappa_0,dlnR_dz_kappa_0_5,dlnR_dz_kappa_1,sign_region_kappa_0,sign_region_kappa_0_5,sign_region_kappa_1,peak_s_kappa_0,peak_s_kappa_0_5,peak_s_kappa_1,peak_lambda_kappa_0,peak_lambda_kappa_0_5,peak_lambda_kappa_1
0.0000000000,0.1000000000,0.1000000000,0.0000000000,0.0000000000,0.0000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0020000000,0.1000000000,0.1007000000,0.0031181534,0.0020052731,0.0008915642,0.0968818466,0.0979947269,0.0991084358,0.0975818466,0.0986947269,0.0998084358,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0040000000,0.1000000000,0.1014000000,0.0062173341,0.0039998300,0.0017790253,0.0937826659,0.0960001700,0.0982209747,0.0951826659,0.0974001700,0.0996209747,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0060000000,0.1000000000,0.1021000000,0.0092976011,0.0059836924,0.0026623868,0.0907023989,0.0940163076,0.0973376132,0.0928023989,0.0961163076,0.0994376132,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0080000000,0.1000000000,0.1028000000,0.0123590135,0.0079568816,0.0035416525,0.0876409865,0.0920431184,0.0964583475,0.0904409865,0.0948431184,0.0992583475,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0100000000,0.1000000000,0.1035000000,0.0154016298,0.0099194190,0.0044168260,0.0845983702,0.0900805810,0.0955831740,0.0880983702,0.0935805810,0.0990831740,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0120000000,0.1000000000,0.1042000000,0.0184255085,0.0118713259,0.0052879110,0.0815744915,0.0881286741,0.0947120890,0.0857744915,0.0923286741,0.0989120890,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0140000000,0.1000000000,0.1049000000,0.0214307078,0.0138126238,0.0061549110,0.0785692922,0.0861873762,0.0938450890,0.0834692922,0.0910873762,0.0987450890,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0160000000,0.1000000000,0.1056000000,0.0244172856,0.0157433336,0.0070178299,0.0755827144,0.0842566664,0.0929821701,0.0811827144,0.0898566664,0.0985821701,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0180000000,0.1000000000,0.1063000000,0.0273852996,0.0176634767,0.0078766711,0.0726147004,0.0823365233,0.0921233289,0.0789147004,0.0886365233,0.0984233289,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0200000000,0.1000000000,0.1070000000,0.0303348073,0.0195730741,0.0087314383,0.0696651927,0.0804269259,0.0912685617,0.0766651927,0.0874269259,0.0982685617,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0220000000,0.1000000000,0.1077000000,0.0332658659,0.0214721468,0.0095821351,0.0667341341,0.0785278532,0.0904178649,0.0744341341,0.0862278532,0.0981178649,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0240000000,0.1000000000,0.1084000000,0.0361785324,0.0233607159,0.0104287653,0.0638214676,0.0766392841,0.0895712347,0.0722214676,0.0850392841,0.0979712347,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0260000000,0.1000000000,0.1091000000,0.0390728635,0.0252388023,0.0112713323,0.0609271365,0.0747611977,0.0887286677,0.0700271365,0.0838611977,0.0978286677,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0280000000,0.1000000000,0.1098000000,0.0419489158,0.0271064269,0.0121098398,0.0580510842,0.0728935731,0.0878901602,0.0678510842,0.0826935731,0.0976901602,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0300000000,0.1000000000,0.1105000000,0.0448067456,0.0289636105,0.0129442915,0.0551932544,0.0710363895,0.0870557085,0.0656932544,0.0815363895,0.0975557085,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0320000000,0.1000000000,0.1112000000,0.0476464088,0.0308103739,0.0137746908,0.0523535912,0.0691896261,0.0862253092,0.0635535912,0.0803896261,0.0974253092,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0340000000,0.1000000000,0.1119000000,0.0504679614,0.0326467377,0.0146010415,0.0495320386,0.0673532623,0.0853989585,0.0614320386,0.0792532623,0.0972989585,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0360000000,0.1000000000,0.1126000000,0.0532714590,0.0344727227,0.0154233472,0.0467285410,0.0655272773,0.0845766528,0.0593285410,0.0781272773,0.0971766528,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0380000000,0.1000000000,0.1133000000,0.0560569569,0.0362883494,0.0162416113,0.0439430431,0.0637116506,0.0837583887,0.0572430431,0.0770116506,0.0970583887,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0400000000,0.1000000000,0.1140000000,0.0588245102,0.0380936385,0.0170558376,0.0411754898,0.0619063615,0.0829441624,0.0551754898,0.0759063615,0.0969441624,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0420000000,0.1000000000,0.1147000000,0.0615741739,0.0398886103,0.0178660295,0.0384258261,0.0601113897,0.0821339705,0.0531258261,0.0748113897,0.0968339705,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0440000000,0.1000000000,0.1154000000,0.0643060027,0.0416732854,0.0186721907,0.0356939973,0.0583267146,0.0813278093,0.0510939973,0.0737267146,0.0967278093,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0460000000,0.1000000000,0.1161000000,0.0670200511,0.0434476841,0.0194743248,0.0329799489,0.0565523159,0.0805256752,0.0490799489,0.0726523159,0.0966256752,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0480000000,0.1000000000,0.1168000000,0.0697163733,0.0452118268,0.0202724354,0.0302836267,0.0547881732,0.0797275646,0.0470836267,0.0715881732,0.0965275646,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0500000000,0.1000000000,0.1175000000,0.0723950233,0.0469657337,0.0210665259,0.0276049767,0.0530342663,0.0789334741,0.0451049767,0.0705342663,0.0964334741,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0520000000,0.1000000000,0.1182000000,0.0750560550,0.0487094251,0.0218565999,0.0249439450,0.0512905749,0.0781434001,0.0431439450,0.0694905749,0.0963434001,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0540000000,0.1000000000,0.1189000000,0.0776995220,0.0504429212,0.0226426612,0.0223004780,0.0495570788,0.0773573388,0.0412004780,0.0684570788,0.0962573388,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0560000000,0.1000000000,0.1196000000,0.0803254775,0.0521662420,0.0234247130,0.0196745225,0.0478337580,0.0765752870,0.0392745225,0.0674337580,0.0961752870,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0580000000,0.1000000000,0.1203000000,0.0829339749,0.0538794077,0.0242027591,0.0170660251,0.0461205923,0.0757972409,0.0373660251,0.0664205923,0.0960972409,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0600000000,0.1000000000,0.1210000000,0.0855250671,0.0555824382,0.0249768030,0.0144749329,0.0444175618,0.0750231970,0.0354749329,0.0654175618,0.0960231970,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0620000000,0.1000000000,0.1217000000,0.0880988067,0.0572753536,0.0257468483,0.0119011933,0.0427246464,0.0742531517,0.0336011933,0.0644246464,0.0959531517,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0640000000,0.1000000000,0.1224000000,0.0906552463,0.0589581736,0.0265128983,0.0093447537,0.0410418264,0.0734871017,0.0317447537,0.0634418264,0.0958871017,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0660000000,0.1000000000,0.1231000000,0.0931944382,0.0606309183,0.0272749568,0.0068055618,0.0393690817,0.0727250432,0.0299055618,0.0624690817,0.0958250432,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0680000000,0.1000000000,0.1238000000,0.0957164345,0.0622936074,0.0280330272,0.0042835655,0.0377063926,0.0719669728,0.0280835655,0.0615063926,0.0957669728,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0700000000,0.1000000000,0.1245000000,0.0982212871,0.0639462606,0.0287871131,0.0017787129,0.0360537394,0.0712128869,0.0262787129,0.0605537394,0.0957128869,both_rise,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0720000000,0.1000000000,0.1252000000,0.1007090477,0.0655888977,0.0295372179,-0.0007090477,0.0344111023,0.0704627821,0.0244909523,0.0596111023,0.0956627821,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0740000000,0.1000000000,0.1259000000,0.1031797677,0.0672215382,0.0302833453,-0.0031797677,0.0327784618,0.0697166547,0.0227202323,0.0586784618,0.0956166547,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0760000000,0.1000000000,0.1266000000,0.1056334984,0.0688442019,0.0310254986,-0.0056334984,0.0311557981,0.0689745014,0.0209665016,0.0577557981,0.0955745014,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0780000000,0.1000000000,0.1273000000,0.1080702909,0.0704569083,0.0317636815,-0.0080702909,0.0295430917,0.0682363185,0.0192297091,0.0568430917,0.0955363185,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0800000000,0.1000000000,0.1280000000,0.1104901961,0.0720596768,0.0324978974,-0.0104901961,0.0279403232,0.0675021026,0.0175098039,0.0559403232,0.0955021026,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0820000000,0.1000000000,0.1287000000,0.1128932645,0.0736525268,0.0332281498,-0.0128932645,0.0263474732,0.0667718502,0.0158067355,0.0550474732,0.0954718502,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0840000000,0.1000000000,0.1294000000,0.1152795467,0.0752354779,0.0339544423,-0.0152795467,0.0247645221,0.0660455577,0.0141204533,0.0541645221,0.0954455577,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0860000000,0.1000000000,0.1301000000,0.1176490928,0.0768085494,0.0346767783,-0.0176490928,0.0231914506,0.0653232217,0.0124509072,0.0532914506,0.0954232217,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0880000000,0.1000000000,0.1308000000,0.1200019530,0.0783717604,0.0353951613,-0.0200019530,0.0216282396,0.0646048387,0.0107980470,0.0524282396,0.0954048387,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0900000000,0.1000000000,0.1315000000,0.1223381770,0.0799251304,0.0361095948,-0.0223381770,0.0200748696,0.0638904052,0.0091618230,0.0515748696,0.0953904052,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
