s,lambda_kappa_0,lambda_kappa_0_5,lambda_kappa_1,epsilon,epsilon_plus_alpha_s,s_dagger_kappa_0,s_dagger_kappa_0_5,s_dagger_kappa_1,lambda_max_kappa_0,lambda_max_kappa_0_5,lambda_max_kappa_1
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1000000000,0.1000000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0020000000,0.0031181534,0.0020052731,0.0008915642,0.1000000000,0.1007000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0040000000,0.0062173341,0.0039998300,0.0017790253,0.1000000000,0.1014000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0060000000,0.0092976011,0.0059836924,0.0026623868,0.1000000000,0.1021000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0080000000,0.0123590135,0.0079568816,0.0035416525,0.1000000000,0.1028000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0100000000,0.0154016298,0.0099194190,0.0044168260,0.1000000000,0.1035000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0120000000,0.0184255085,0.0118713259,0.0052879110,0.1000000000,0.1042000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0140000000,0.0214307078,0.0138126238,0.0061549110,0.1000000000,0.1049000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0160000000,0.0244172856,0.0157433336,0.0070178299,0.1000000000,0.1056000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0180000000,0.0273852996,0.0176634767,0.0078766711,0.1000000000,0.1063000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
