kappa,lambda_at_sbar,dlnY_dz,dlnR_dz,sbar,kappa_R_star,kappa_Y_star
0.0000000000,0.2594117647,-0.1594117647,-0.0719117647,0.2500000000,0.4233766234,0.9003322259
0.0020000000,0.2590838491,-0.1590838491,-0.0715838491,0.2500000000,0.4233766234,0.9003322259
0.0040000000,0.2587558254,-0.1587558254,-0.0712558254,0.2500000000,0.4233766234,0.9003322259
0.0060000000,0.2584276937,-0.1584276937,-0.0709276937,0.2500000000,0.4233766234,0.9003322259
0.0080000000,0.2580994538,-0.1580994538,-0.0705994538,0.2500000000,0.4233766234,0.9003322259
0.0100000000,0.2577711056,-0.1577711056,-0.0702711056,0.2500000000,0.4233766234,0.9003322259
0.0120000000,0.2574426492,-0.1574426492,-0.0699426492,0.2500000000,0.4233766234,0.9003322259
0.0140000000,0.2571140845,-0.1571140845,-0.0696140845,0.2500000000,0.4233766234,0.9003322259
0.0160000000,0.2567854114,-0.1567854114,-0.0692854114,0.2500000000,0.4233766234,0.9003322259
0.0180000000,0.2564566298,-0.1564566298,-0.0689566298,0.2500000000,0.4233766234,0.9003322259
0.0200000000,0.2561277398,-0.1561277398,-0.0686277398,0.2500000000,0.4233766234,0.9003322259
0.0220000000,0.2557987412,-0.1557987412,-0.0682987412,0.2500000000,0.4233766234,0.9003322259
0.0240000000,0.2554696341,-0.1554696341,-0.0679696341,0.2500000000,0.4233766234,0.9003322259
0.0260000000,0.2551404183,-0.1551404183,-0.0676404183,0.2500000000,0.4233766234,0.9003322259
0.0280000000,0.2548110938,-0.1548110938,-0.0673110938,0.2500000000,0.4233766234,0.9003322259
0.0300000000,0.2544816606,-0.1544816606,-0.0669816606,0.2500000000,0.4233766234,0.9003322259
0.0320000000,0.2541521185,-0.1541521185,-0.0666521185,0.2500000000,0.4233766234,0.9003322259
0.0340000000,0.2538224676,-0.1538224676,-0.0663224676,0.2500000000,0.4233766234,0.9003322259
0.0360000000,0.2534927078,-0.1534927078,-0.0659927078,0.2500000000,0.4233766234,0.9003322259
0.0380000000,0.2531628390,-0.1531628390,-0.0656628390,0.2500000000,0.4233766234,0.9003322259
0.0400000000,0.2528328612,-0.1528328612,-0.0653328612,0.2500000000,0.4233766234,0.9003322259
0.0420000000,0.2525027743,-0.1525027743,-0.0650027743,0.2500000000,0.4233766234,0.9003322259
0.0440000000,0.2521725783,-0.1521725783,-0.0646725783,0.2500000000,0.4233766234,0.9003322259
0.0460000000,0.2518422731,-0.1518422731,-0.0643422731,0.2500000000,0.4233766234,0.9003322259
0.0480000000,0.2515118586,-0.1515118586,-0.0640118586,0.2500000000,0.4233766234,0.9003322259
0.0500000000,0.2511813349,-0.1511813349,-0.0636813349,0.2500000000,0.4233766234,0.9003322259
0.0520000000,0.2508507018,-0.1508507018,-0.0633507018,0.2500000000,0.4233766234,0.9003322259
0.0540000000,0.2505199593,-0.1505199593,-0.0630199593,0.2500000000,0.4233766234,0.9003322259
0.0560000000,0.2501891074,-0.1501891074,-0.0626891074,0.2500000000,0.4233766234,0.9003322259
0.0580000000,0.2498581460,-0.1498581460,-0.0623581460,0.2500000000,0.4233766234,0.9003322259
0.0600000000,0.2495270750,-0.1495270750,-0.0620270750,0.2500000000,0.4233766234,0.9003322259
0.0620000000,0.2491958943,-0.1491958943,-0.0616958943,0.2500000000,0.4233766234,0.9003322259
0.0640000000,0.2488646040,-0.1488646040,-0.0613646040,0.2500000000,0.4233766234,0.9003322259
0.0660000000,0.2485332040,-0.1485332040,-0.0610332040,0.2500000000,0.4233766234,0.9003322259
0.0680000000,0.2482016942,-0.1482016942,-0.0607016942,0.2500000000,0.4233766234,0.9003322259
0.0700000000,0.2478700745,-0.1478700745,-0.0603700745,0.2500000000,0.4233766234,0.9003322259
0.0720000000,0.2475383450,-0.1475383450,-0.0600383450,0.2500000000,0.4233766234,0.9003322259
0.0740000000,0.2472065055,-0.1472065055,-0.0597065055,0.2500000000,0.4233766234,0.9003322259
0.0760000000,0.2468745560,-0.1468745560,-0.0593745560,0.2500000000,0.4233766234,0.9003322259
0.0780000000,0.2465424965,-0.1465424965,-0.0590424965,0.2500000000,0.4233766234,0.9003322259
